Date,Vader Donald score,TextBlob Donald score,Bayes Donald Score
'2020-10-15',-0.038383292,0.034531538,0.012657089
'2020-10-16',-0.030257236,0.031682206,0.013100373
'2020-10-17',-0.033539008,0.031415738,0.011929314
'2020-10-18',-0.026996865,0.035119601,0.016484661
'2020-10-19',-0.051940948,0.027815991,0.003888909
'2020-10-20',-0.030889807,0.023724622,0.007340293
'2020-10-21',-0.035758478,0.028599874,0.009292368
'2020-10-22',-0.029649167,0.031584567,0.013214447
'2020-10-23',0.00125006,0.036964571,0.026250218
'2020-10-24',-0.020795407,0.033421895,0.017156704
'2020-10-25',-0.028356317,0.036167002,0.016810006
'2020-10-26',-0.03117558,0.040590219,0.019060479
'2020-10-27',-0.006529118,0.046915435,0.030882069
'2020-10-28',-0.031021321,0.032306325,0.013308031
'2020-10-29',-0.004199578,0.052775588,0.035683038
'2020-10-30',-0.009761079,0.045232745,0.028734598
'2020-10-31',-0.002281672,0.051110658,0.035092959
'2020-11-01',-0.008318849,0.048584027,0.031513164
'2020-11-02',0.016779153,0.056992482,0.044928483
'2020-11-03',0.058994455,0.068773868,0.065840044
'2020-11-04',0.029192048,0.050446034,0.044069838
'2020-11-05',-0.001958158,0.040195306,0.027549267
'2020-11-06',-0.019250263,0.032789564,0.017177616
'2020-11-07',0.036930524,0.046318266,0.043501943
'2020-11-08',0.031979114,0.049435674,0.044198706
